,price,resid_z,p_value,flag_conformal,flag_isoforest,flag_lof,votes,severity,flag
2022-03-28,188.16000366210938,0.2513258221434194,0.7522590361445783,0,0,0,0,0,0
2022-03-29,193.8000030517578,1.273039206386001,0.1617757712565839,0,0,0,0,0,0
2022-03-30,194.91000366210938,0.823292541920833,0.3308270676691729,0,0,0,0,0,0
2022-03-31,191.5,0.5780710647543651,0.48159278737791134,0,0,0,0,0,0
2022-04-01,190.75999450683594,-0.6699208626860614,0.4271771771771772,0,0,0,0,0,0
2022-04-04,191.17999267578125,0.01160906247926618,0.9872468117029257,0,0,0,0,0,0
2022-04-05,182.64999389648438,-1.7019506887384435,0.0937031484257871,0,0,0,0,0,0
2022-04-06,178.72000122070312,-0.5256222257295727,0.5303370786516854,0,0,0,0,0,0
2022-04-07,177.97000122070312,-1.123868425639369,0.20808383233532934,0,0,0,0,0,0
2022-04-08,175.1999969482422,-0.35400726015330164,0.6604338070306657,0,0,0,0,0,0
2022-04-11,175.02999877929688,0.797603637281103,0.3415545590433483,0,0,0,0,0,0
2022-04-12,176.27999877929688,0.6083456199463183,0.46153846153846156,0,0,0,0,0,0
2022-04-13,182.8699951171875,1.5424637627579243,0.11641791044776119,0,0,0,0,0,0
2022-04-14,181.94000244140625,0.2840305227963355,0.7114093959731543,0,0,0,0,0,0
2022-04-18,179.85000610351562,-0.5038221063692357,0.5461997019374069,0,0,0,0,0,0
2022-04-19,185.97999572753906,1.1219369426551222,0.2099776619508563,0,0,0,0,0,0
2022-04-20,183.5500030517578,-0.545916203309089,0.5133928571428571,0,0,0,0,0,0
2022-04-21,181.02000427246094,1.2702918514570891,0.16282527881040892,0,0,0,0,0,0
2022-04-22,176.9199981689453,0.7227281571974258,0.3833580980683507,0,0,0,0,0,0
2022-04-25,175.91000366210938,-0.31331158526580655,0.6874536005939124,0,0,0,0,0,0
2022-04-26,167.0399932861328,-1.1930070180946748,0.18397626112759644,0,0,0,0,0,0
2022-04-27,154.4600067138672,-4.461066903598469,0.009636767976278725,0,0,0,0,0,0
2022-04-28,154.22000122070312,-1.060514182419454,0.2348148148148148,0,0,0,0,0,0
2022-04-29,148.83999633789062,0.8161248101648797,0.3338267949666913,0,0,0,0,0,0
2022-05-02,148.61000061035156,-0.20454256223040357,0.7936390532544378,0,0,0,0,0,0
2022-05-03,153.5800018310547,0.7434539176396692,0.36733185513673317,0,0,0,0,0,0
2022-05-04,156.97000122070312,-1.0411586402990702,0.24446085672082718,0,0,0,0,0,0
2022-05-05,150.47000122070312,-0.3136578748867928,0.6878228782287823,0,0,0,0,0,0
2022-05-06,148.89999389648438,-0.018982955733548443,0.9808259587020649,0,0,0,0,0,0
2022-05-09,133.30999755859375,-3.3687595438030686,0.01694915254237288,0,0,1,1,1,0
2022-05-10,132.9499969482422,-0.16242231564674467,0.8372606774668631,0,0,0,0,0,0
2022-05-11,129.38999938964844,-0.27689363603398454,0.7225901398086828,0,0,0,0,0,0
2022-05-12,123.13999938964844,-2.741586712806421,0.03161764705882353,0,0,0,0,0,0
2022-05-13,127.19999694824219,0.5420860363159808,0.5187362233651727,0,0,0,0,0,0
2022-05-16,124.05000305175781,-1.2217751011965663,0.17988252569750368,0,0,0,0,0,0
2022-05-17,132.0500030517578,1.6489912606378578,0.10418195157740279,0,0,0,0,0,0
2022-05-18,125.5199966430664,0.08926427813309734,0.9127565982404692,0,0,0,0,0,0
2022-05-19,127.13999938964844,1.6539003925019198,0.10402930402930403,0,0,0,0,0,0
2022-05-20,120.69999694824219,-2.5630834875134236,0.04026354319180088,0,0,0,0,0,0
2022-05-23,124.06999969482422,-0.012143004396966939,0.9853694220921726,0,0,0,0,0,0
2022-05-24,119.4000015258789,-2.0434867435379034,0.06286549707602339,0,0,1,1,1,0
2022-05-25,122.05999755859375,0.7378525216086905,0.3754565376186998,0,0,0,0,0,0
2022-05-26,127.7300033569336,1.0105637028110224,0.25985401459854013,0,0,1,1,1,0
2022-05-27,132.22999572753906,0.11258553937405699,0.8854850474106492,0,0,1,1,1,0
2022-05-31,131.39999389648438,0.6569376998712033,0.4424198250728863,0,0,1,1,1,0
2022-06-01,130.64999389648438,0.5421910093365594,0.5200291332847778,0,0,1,1,1,0
2022-06-02,140.5,2.810365170386722,0.02911208151382824,0,0,1,1,1,0
2022-06-03,139.25,0.5388423017385041,0.5243636363636364,0,0,1,1,1,0
2022-06-06,139.24000549316406,-0.09121559400935242,0.9098837209302325,0,0,1,1,1,0
2022-06-07,140.82000732421875,-0.6592202108566866,0.4386347131445171,0,0,1,1,1,0
2022-06-08,139.6300048828125,1.1845286110997486,0.18940493468795355,0,0,0,0,0,0
2022-06-09,133.72999572753906,-0.08482082013760614,0.9151559100797679,0,0,1,1,1,0
2022-06-10,127.0,-0.37988958563329295,0.6391304347826087,0,0,1,1,1,0
2022-06-13,115.86000061035156,-1.4155335315176953,0.1390296886314265,0,0,1,1,1,0
2022-06-14,122.16000366210938,3.4897142237864243,0.01447178002894356,0,0,1,1,1,0
2022-06-15,133.72000122070312,3.702773140771036,0.014461315979754157,0,0,0,0,0,0
2022-06-16,133.36000061035156,2.518235127847325,0.04335260115606936,0,0,1,1,1,0
2022-06-17,136.8000030517578,1.2779417695410902,0.16462093862815885,0,0,1,1,1,0
2022-06-21,136.75,-2.232997160690205,0.05555555555555555,0,0,1,1,1,0
2022-06-22,137.16000366210938,0.6150708439601179,0.46214852198990625,0,0,1,1,1,0
2022-06-23,133.97000122070312,-1.3475626573345958,0.15417867435158503,0,0,1,1,1,0
2022-06-24,141.52999877929688,0.489189914819962,0.5637149028077754,0,0,0,0,0,0
2022-06-27,138.72000122070312,-0.6909541417524452,0.4143884892086331,0,0,1,1,1,0
2022-06-28,138.6999969482422,1.2737270227608448,0.1667864845434939,0,0,0,0,0,0
2022-06-29,138.4499969482422,0.19915903253066916,0.7995689655172413,0,0,0,0,0,0
2022-06-30,136.72000122070312,-0.7509314083350492,0.3653984206748026,0,0,0,0,0,0
2022-07-01,139.83999633789062,0.4141186947982462,0.6205164992826399,0,0,0,0,0,0
2022-07-05,137.6999969482422,0.2744031840464326,0.7297491039426524,0,0,0,0,0,0
2022-07-06,136.30999755859375,-0.8681063185546373,0.31805157593123207,0,0,0,0,0,0
2022-07-07,139.97000122070312,0.5851377068583673,0.4831782390837509,0,0,0,0,0,0
2022-07-08,139.07000732421875,-0.2807003084581994,0.7188841201716738,0,0,0,0,0,0
2022-07-11,136.99000549316406,0.07280802099788827,0.9256611865618298,0,0,0,0,0,0
2022-07-12,147.14999389648438,4.118170636020733,0.011428571428571429,0,0,0,0,0,0
2022-07-13,143.9499969482422,-0.3674471204064006,0.6502498215560314,0,0,0,0,0,0
2022-07-14,147.14999389648438,1.5762881661645753,0.11697574893009986,0,0,0,0,0,0
2022-07-15,147.74000549316406,-1.0129307316651956,0.2608695652173913,0,0,0,0,0,0
2022-07-18,147.72000122070312,0.8213713820017154,0.33618233618233617,0,0,0,0,0,0
2022-07-19,156.1300048828125,0.5664469070027547,0.499644128113879,0,0,0,0,0,0
2022-07-20,158.3800048828125,0.17120067822523066,0.8278805120910384,0,0,0,0,0,0
2022-07-21,161.41000366210938,0.41087652370752187,0.6226012793176973,0,0,0,0,0,0
2022-07-22,158.16000366210938,-0.4067424116392724,0.6264204545454546,0,0,0,0,0,0
2022-07-25,156.63999938964844,-0.5467976071067859,0.5166784953867991,0,0,0,0,0,0
2022-07-26,155.9199981689453,0.8386117102734358,0.3262411347517731,0,0,0,0,0,0
2022-07-27,156.08999633789062,-1.2521987264827266,0.17292700212615167,0,0,0,0,0,0
2022-07-28,159.08999633789062,-0.07194776234140793,0.9270538243626062,0,0,0,0,0,0
2022-07-29,159.30999755859375,-1.0034912425421056,0.267515923566879,0,0,0,0,0,0
2022-08-01,169.07000732421875,3.0372578667327046,0.024752475247524754,0,0,0,0,0,0
2022-08-02,163.27999877929688,-1.3658451079294922,0.14982332155477032,0,0,0,0,0,0
2022-08-03,166.63999938964844,0.1307866846535713,0.8721751412429378,0,0,0,0,0,0
2022-08-04,166.5,0.20429166980357794,0.7946365561044461,0,0,0,0,0,0
2022-08-05,165.0399932861328,-0.32550592729168737,0.6847672778561354,0,0,0,0,0,0
2022-08-08,165.88999938964844,0.47503113911762634,0.5722339675828048,0,0,0,0,0,0
2022-08-09,164.85000610351562,-0.19480070969135727,0.8077464788732395,0,0,0,0,0,0
2022-08-10,169.02000427246094,-0.12792335855774112,0.8747361013370866,0,0,0,0,0,0
2022-08-11,167.8800048828125,-0.20137316906150926,0.7967651195499297,0,0,0,0,0,0
2022-08-12,169.99000549316406,-0.4440926368482911,0.5910049191848208,0,0,0,0,0,0
2022-08-15,170.47000122070312,-0.17751052157982208,0.8237359550561798,0,0,0,0,0,0
2022-08-16,172.0800018310547,0.3089317735317179,0.6940350877192982,0,0,0,0,0,0
2022-08-17,167.1999969482422,-0.9199985727684656,0.2924263674614306,0,0,0,0,0,0
2022-08-18,168.69000244140625,0.425366207651468,0.6040644709180099,0,0,0,0,0,0
2022-08-19,162.9199981689453,-0.6240475158060979,0.45588235294117646,0,0,0,0,0,0
2022-08-22,158.97999572753906,0.30750668835385847,0.695591322603219,0,0,0,0,0,0
2022-08-23,160.07000732421875,0.4513265222763211,0.583916083916084,0,0,0,0,0,0
2022-08-24,163.60000610351562,0.7590868535991155,0.36198462613556953,0,0,0,0,0,0
2022-08-25,169.3800048828125,0.7508460234489097,0.3645251396648045,0,0,0,0,0,0
2022-08-26,164.52999877929688,0.9362610652883583,0.2826238660153524,0,0,0,0,0,0
2022-08-29,165.4199981689453,0.6640600470869489,0.43584379358437936,0,0,0,0,0,0
2022-08-30,162.2100067138672,-0.1259360629165384,0.8766550522648083,0,0,0,0,0,0
2022-08-31,160.25,0.07206213734784483,0.9275766016713092,0,0,0,0,0,0
2022-09-01,153.66000366210938,-1.996086898788535,0.06889352818371608,0,0,1,1,1,0
2022-09-02,151.82000732421875,0.14278198061953656,0.8574408901251739,0,0,0,0,0,0
2022-09-06,152.38999938964844,0.4563454690451769,0.5830437804030577,0,0,0,0,0,0
2022-09-07,155.9499969482422,0.10681368651288861,0.8951388888888889,0,0,0,0,0,0
2022-09-08,157.7899932861328,0.28685486889673495,0.7099236641221374,0,0,0,0,0,0
2022-09-09,157.52000427246094,-0.8877864026160911,0.3065187239944521,0,0,0,0,0,0
2022-09-12,158.72000122070312,-0.07987453861438777,0.9216909216909217,0,0,0,0,0,0
2022-09-13,147.30999755859375,-0.4411924241764637,0.5921052631578947,0,0,1,1,1,0
2022-09-14,149.25999450683594,0.14965806182651412,0.845674740484429,0,0,0,0,0,0
2022-09-15,149.77999877929688,0.9475069738294862,0.27869986168741356,0,0,0,0,0,0
2022-09-16,144.2899932861328,-1.2230727829252634,0.1824464409122322,0,0,1,1,1,0
